grid_id,lon,lat,flare_label_ever,mean_risk,max_risk,active_months_validation_f1,strict_active_months,discovery_active_months,post_max_risk,post_mean_risk,post_strict_active_months,post_discovery_active_months,oilgas_candidate_ever
32484,43.793858,36.15217,0,0.08040750737181293,0.33854166666666674,0,42,60,0.33854166666666674,0.06539469627355936,12,23,1
68541,44.206573,36.011364,0,0.1352247781369797,0.33854166666666674,0,20,24,0.33854166666666674,0.1521066889230895,12,12,1
28577,43.774708,35.953636,0,0.037236833107027925,0.33854166666666674,0,19,84,0.33854166666666674,0.053388130930235006,11,35,1
29582,43.762917,35.998592,0,0.09065420212582899,0.5663265306122449,1,33,60,0.33854166666666674,0.07138226003352588,11,23,1
61089,44.288437,35.54304,0,0.2943169397910667,0.5663265306122449,4,22,24,0.33854166666666674,0.24967603995101073,10,12,1
63006,43.977978,35.667038,0,0.3009694704007979,0.738562091503268,8,22,24,0.33854166666666674,0.12369162142346019,10,12,1
68188,43.72993,35.980217,0,0.22037436959554688,0.5663265306122449,4,18,24,0.33854166666666674,0.16110281208302915,9,12,1
68189,43.741016,35.980335,0,0.20834680791881868,0.5084033613445379,4,19,24,0.33854166666666674,0.15232313577348372,9,12,1
68284,43.729786,35.98923,0,0.16725290199532286,0.33854166666666674,0,17,24,0.33854166666666674,0.13342751716431972,9,12,1
15555,44.388268,35.47146,0,0.030833960455342906,0.33854166666666674,0,13,58,0.33854166666666674,0.037999968452953836,8,21,1
16274,44.34396,35.498276,0,0.0487877379654826,0.33854166666666674,0,24,60,0.33854166666666674,0.06493075781710418,8,23,1
38103,43.98916,36.523594,0,0.016389002061013753,0.33854166666666674,0,6,13,0.33854166666666674,0.04227500760007214,6,12,1
61491,44.255093,35.56989,0,0.08371501004870674,0.33854166666666674,0,13,24,0.33854166666666674,0.12750818343642145,6,12,1
69849,43.78316,36.125015,0,0.25421495275456724,0.6956521739130435,5,18,24,0.33854166666666674,0.13244186590684662,6,12,1
16255,44.134487,35.496956,0,0.013626429382073167,0.33854166666666674,0,7,60,0.33854166666666674,0.029388658157875846,5,23,1
21054,43.97786,35.676052,0,0.05906009123532245,0.6738197424892703,2,11,60,0.33854166666666674,0.04913965293010129,4,23,1
22324,44.021503,35.721493,0,0.020126616262261185,0.33854166666666674,0,7,60,0.33854166666666674,0.02472427720260531,3,23,1
63442,43.900272,35.693398,0,0.07462082768796637,0.33854166666666674,0,9,24,0.33854166666666674,0.03608413720094407,1,12,1
68538,44.17329,36.01114,0,0.10232570379592178,0.3333333333333333,0,21,24,0.3333333333333333,0.10887350133248513,11,12,1
15554,44.377243,35.4714,0,0.01755553308511203,0.3333333333333333,0,8,58,0.3333333333333333,0.03297487433247171,6,21,1
30152,44.10651,36.02869,0,0.10917908801170005,0.33854166666666674,0,65,84,0.3191489361702128,0.09969998741215261,25,35,1
