lon,lat,year,detections,mean_volume,mean_temp,mean_dtc_freq,mean_clr_obs,detections_total,first_year,last_year
47.103008,30.564248,2016,1,0.286192631,1673.02,100,394,5,2012,2016
47.251155,32.256515,2012,1,0.066513017,1693.73,96.1131,283,5,2012,2016
47.251155,32.256515,2013,1,0.113525076,1693.73,97.2222,396,5,2012,2016
47.251155,32.256515,2014,1,0.133942142,1693.73,92.0548,365,5,2012,2016
47.251155,32.256515,2015,1,0.162316806,1693.73,94.8787,371,5,2012,2016
47.251155,32.256515,2016,1,0.192562431,1693.73,100,370,5,2012,2016
47.254806,31.693362,2013,1,0.097963583,1757.45,80.5627,391,4,2013,2016
47.254806,31.693362,2014,1,0.037912041,1757.45,70,360,4,2013,2016
47.254806,31.693362,2015,1,0.078208427,1757.45,62.4625,333,4,2013,2016
47.254806,31.693362,2016,1,0.053340565,1757.45,73.6842,361,4,2013,2016
47.28176,31.943254,2012,1,0.060893973,1713.93,91.3725,255,5,2012,2016
47.28176,31.943254,2013,1,0.072114157,1713.93,91.369,336,5,2012,2016
47.28176,31.943254,2014,1,0.037329971,1713.93,84.6154,351,5,2012,2016
47.28176,31.943254,2015,1,0.045720233,1713.93,85.7627,295,5,2012,2016
47.28176,31.943254,2016,1,0.070996688,1713.93,98.5915,284,5,2012,2016
47.283359,31.025946,2014,1,0.802552114,1681,82.4207,347,3,2014,2016
47.283359,31.025946,2015,1,1.212255418,1681,99.4444,360,3,2014,2016
47.283359,31.025946,2016,1,1.335203393,1681,100,383,3,2014,2016
47.288919,31.033604,2014,1,0.154778956,1746.42,78.8406,345,2,2014,2015
47.288919,31.033604,2015,1,0.267054768,1746.42,97.8723,282,2,2014,2015
47.29773,32.453836,2012,1,0.00881045,1816.84,54.6326,313,5,2012,2016
47.29773,32.453836,2013,1,0.009469953,1816.84,49.6164,391,5,2012,2016
47.29773,32.453836,2014,1,0.00560701,1816.84,30.1333,375,5,2012,2016
47.29773,32.453836,2015,1,0.00895243,1816.84,43.4555,382,5,2012,2016
