date,year,month,mean_risk,p95_risk,p99_risk,active_share,strict_active_share,n_grids,value,observed,seasonal,trend,remainder,deseasoned,deseasoned_ma3
2022-04-01,2022,4,0.00240091179126799,0,0.00666222518321119,0.00263522884882108,0.00612244897959184,50470,0,0,-3.69571507486662e-06,-1.91422697999769e-06,5.60994205486432e-06,3.69571507486662e-06,-1.32838233697907e-05
2022-05-01,2022,5,0.00262782988823799,0,0.00666222518321119,0.0026550425995641,0.00643946899148009,50470,0,0,2.36006473586372e-05,-1.68230326699461e-06,-2.19183440916426e-05,-2.36006473586372e-05,-2.3502555344304e-05
2022-06-01,2022,6,0.00217455153779342,0,0.011014948859166,0.00233802258767585,0.00626114523479295,50470,0,0,5.06027337491415e-05,-7.13161930471487e-07,-4.988957181867e-05,-5.06027337491415e-05,-1.66437083455189e-05
2022-07-01,2022,7,0.000523216679131204,0,0.000734753857457752,0.000376461264117297,0.00233802258767585,50470,0,0,-2.4272256071222e-05,2.55979406051636e-07,2.40162766651703e-05,2.4272256071222e-05,-1.19847379654684e-06
2022-08-01,2022,8,0.00101840183447088,0,0.000178284899269032,0.00110957004160888,0.00307113136516743,50470,0,0,-2.2735056288279e-05,1.08850382709841e-06,2.16465524611806e-05,2.2735056288279e-05,2.2735056288279e-05
2022-09-01,2022,9,0.001342789890359,0,0.000178284899269032,0.00154547255795522,0.00362591638597186,50470,0,0,-2.1197856505336e-05,1.92102824814519e-06,1.92768282571909e-05,2.1197856505336e-05,2.10960731062568e-05
2022-10-01,2022,10,0.00206723386779286,0,0.000734753857457752,0.00219932633247474,0.00473548642758074,50470,0,0,-1.93553065251553e-05,3.11900475993744e-06,1.62363017652179e-05,1.93553065251553e-05,1.93553065251553e-05
2022-11-01,2022,11,0.00223208676230657,0,0.00583657587548638,0.00235783633841886,0.0053100851991282,50470,0,0,-1.75127565449745e-05,4.3169812717297e-06,1.31957752732448e-05,1.75127565449745e-05,1.77600955287884e-05
2022-12-01,2022,12,0.00202379189057048,0,0.000734753857457752,0.00219932633247474,0.00447790766792154,50470,0,0,-1.64122235162355e-05,6.96201690145401e-06,9.45020661478144e-06,1.64122235162355e-05,6.62877156410554e-06
2023-01-01,2023,1,0.00238634180727706,0,0.00666222518321119,0.00255597384584902,0.00540915395284327,50470,0,0,1.40386653688934e-05,9.60705253117833e-06,-2.36457179000717e-05,-1.40386653688934e-05,-4.87301448330179e-06
2023-02-01,2023,2,0.00199883273065586,0,0.00429799426934097,0.00231820883693283,0.00433921141272043,50470,0,0,1.69926015972474e-05,1.13734107229547e-05,-2.83660123202021e-05,-1.69926015972474e-05,-1.69926015972474e-05
2023-03-01,2023,3,0.00187090103819424,0,0.00429799426934097,0.0020210025757876,0.00471567267683773,50470,0,0,1.99465378256015e-05,1.3139768914731e-05,-3.30863067403325e-05,-1.99465378256015e-05,-1.10811414493274e-05
2023-04-01,2023,4,0.00236404714879183,0,0.00666222518321119,0.00235783633841886,0.00618189023182088,50470,0,0,-3.69571507486662e-06,1.42527508726997e-05,-1.05570357978331e-05,3.69571507486662e-06,-1.32838233697907e-05
2023-05-01,2023,5,0.00293967360729429,0,0.011014948859166,0.00301169011293838,0.00741034277788786,50470,0,0,2.36006473586372e-05,1.53657328306684e-05,-3.89663801893055e-05,-2.36006473586372e-05,3.592574441204e-05
2023-06-01,2023,6,0.00231152575370292,0.000178284899269032,0.011014948859166,0.00241727759064791,0.0064592827422231,50470,0.000178284899269032,0.000178284899269032,5.06027337491415e-05,1.63348737847795e-05,0.000111347291735111,0.00012768216551989,4.27845914108251e-05
2023-07-01,2023,7,0.00189847194552267,0,0.00183935838513325,0.00210025757875966,0.00469585892609471,50470,0,0,-2.4272256071222e-05,1.73040147388906e-05,6.9682413323314e-06,2.4272256071222e-05,5.82298259597971e-05
2023-08-01,2023,8,0.00197465175448692,0,0.000734753857457752,0.00229839508618982,0.00445809391717852,50470,0,0,-2.2735056288279e-05,1.72554803662639e-05,5.47957592201508e-06,2.2735056288279e-05,2.2735056288279e-05
2023-09-01,2023,9,0.00213301521797928,0,0.00583657587548638,0.00231820883693283,0.00485436893203884,50470,0,0,-2.1197856505336e-05,1.72069459936373e-05,3.99091051169875e-06,2.1197856505336e-05,2.10960731062568e-05
